order_item_id,order_id,product_id,seller_id,quantity,freight_value
OI00001,ORD00071,PROD0076,SELL002,3,45.59
OI00002,ORD00080,PROD0060,SELL015,1,9.55
OI00003,ORD00074,PROD0010,SELL021,1,54.2
OI00004,ORD00130,PROD0050,SELL015,5,49.35
OI00005,ORD00190,PROD0006,SELL015,5,57.15
OI00006,ORD00083,PROD0078,SELL016,5,17.07
OI00007,ORD00016,PROD0058,SELL004,3,83.59
OI00008,ORD00022,PROD0065,SELL021,2,8.13
OI00009,ORD00182,PROD0057,SELL015,5,46.82
OI00010,ORD00041,PROD0047,SELL012,3,35.99
OI00011,ORD00199,PROD0044,SELL022,5,9.19
OI00012,ORD00162,PROD0083,SELL011,1,31.38
OI00013,ORD00143,PROD0087,SELL013,3,25.16
OI00014,ORD00169,PROD0078,SELL005,3,11.52
OI00015,ORD00170,PROD0019,SELL012,3,82.42
OI00016,ORD00179,PROD0085,SELL013,2,52.6
OI00017,ORD00022,PROD0040,SELL018,4,56.48
OI00018,ORD00085,PROD0017,SELL022,5,12.48
OI00019,ORD00172,PROD0055,SELL017,3,6.46
OI00020,ORD00080,PROD0024,SELL007,3,80.81
OI00021,ORD00125,PROD0025,SELL008,2,17.4
OI00022,ORD00076,PROD0013,SELL017,5,71.81
OI00023,ORD00135,PROD0005,SELL022,3,75.11
OI00024,ORD00159,PROD0017,SELL020,4,17.34
OI00025,ORD00047,PROD0089,SELL025,5,69.72
OI00026,ORD00043,PROD0093,SELL015,1,37.87
OI00027,ORD00174,PROD0093,SELL008,4,53.85
OI00028,ORD00193,PROD0096,SELL015,2,47.72
OI00029,ORD00080,PROD0061,SELL007,3,59.26
OI00030,ORD00147,PROD0057,SELL015,3,67.25
OI00031,ORD00129,PROD0068,SELL014,2,70.35
OI00032,ORD00155,PROD0018,SELL009,1,56.29
OI00033,ORD00096,PROD0071,SELL004,5,73.09
OI00034,ORD00073,PROD0011,SELL025,2,26.82
OI00035,ORD00132,PROD0019,SELL014,1,80.71
OI00036,ORD00057,PROD0058,SELL012,1,38.19
OI00037,ORD00102,PROD0065,SELL012,2,35.89
OI00038,ORD00021,PROD0048,SELL008,1,30.49
OI00039,ORD00026,PROD0092,SELL021,3,68.31
OI00040,ORD00036,PROD0005,SELL010,4,60.69
OI00041,ORD00036,PROD0098,SELL023,4,40.89
OI00042,ORD00002,PROD0011,SELL001,3,22.25
OI00043,ORD00039,PROD0071,SELL024,5,47.22
OI00044,ORD00029,PROD0100,SELL010,2,29.09
OI00045,ORD00013,PROD0031,SELL014,5,41.57
OI00046,ORD00029,PROD0064,SELL020,5,6.31
OI00047,ORD00132,PROD0074,SELL008,2,28.3
OI00048,ORD00001,PROD0079,SELL012,2,50.65
OI00049,ORD00048,PROD0086,SELL022,1,46.88
OI00050,ORD00093,PROD0009,SELL017,5,45.59
OI00051,ORD00130,PROD0071,SELL001,4,74.87
OI00052,ORD00012,PROD0082,SELL013,3,25.29
OI00053,ORD00005,PROD0046,SELL003,3,24.29
OI00054,ORD00169,PROD0081,SELL004,5,63.81
OI00055,ORD00086,PROD0018,SELL002,3,48.68
OI00056,ORD00165,PROD0023,SELL025,4,83.47
OI00057,ORD00123,PROD0081,SELL006,2,10.05
OI00058,ORD00199,PROD0059,SELL002,3,21.13
OI00059,ORD00052,PROD0006,SELL011,3,46.23
OI00060,ORD00140,PROD0061,SELL009,1,65.26
OI00061,ORD00049,PROD0037,SELL012,1,74.26
OI00062,ORD00085,PROD0035,SELL004,3,39.96
OI00063,ORD00103,PROD0096,SELL015,4,32.12
OI00064,ORD00048,PROD0064,SELL023,4,34.39
OI00065,ORD00133,PROD0035,SELL003,4,11.31
OI00066,ORD00155,PROD0024,SELL018,3,30.7
OI00067,ORD00021,PROD0042,SELL022,3,29.52
OI00068,ORD00155,PROD0092,SELL014,2,60.18
OI00069,ORD00090,PROD0058,SELL002,3,54.19
OI00070,ORD00112,PROD0036,SELL021,1,11.0
OI00071,ORD00164,PROD0052,SELL012,5,69.09
OI00072,ORD00174,PROD0021,SELL001,2,72.89
OI00073,ORD00174,PROD0057,SELL002,2,10.38
OI00074,ORD00200,PROD0083,SELL012,3,35.63
OI00075,ORD00146,PROD0005,SELL020,2,59.32
OI00076,ORD00095,PROD0048,SELL015,1,50.91
OI00077,ORD00136,PROD0047,SELL013,3,56.96
OI00078,ORD00064,PROD0015,SELL001,2,44.92
OI00079,ORD00100,PROD0072,SELL004,3,67.0
OI00080,ORD00181,PROD0058,SELL007,5,27.85
OI00081,ORD00126,PROD0026,SELL004,2,73.23
OI00082,ORD00116,PROD0023,SELL023,4,84.78
OI00083,ORD00175,PROD0041,SELL022,3,61.76
OI00084,ORD00141,PROD0070,SELL010,3,73.11
OI00085,ORD00183,PROD0091,SELL023,2,68.5
OI00086,ORD00131,PROD0029,SELL004,2,68.37
OI00087,ORD00061,PROD0064,SELL001,3,49.32
OI00088,ORD00095,PROD0060,SELL018,2,53.96
OI00089,ORD00023,PROD0009,SELL010,4,84.97
OI00090,ORD00185,PROD0062,SELL017,4,66.53
OI00091,ORD00148,PROD0010,SELL005,3,56.39
OI00092,ORD00116,PROD0060,SELL022,5,32.56
OI00093,ORD00200,PROD0071,SELL021,5,19.56
OI00094,ORD00034,PROD0056,SELL017,1,71.51
OI00095,ORD00133,PROD0020,SELL010,2,17.96
OI00096,ORD00182,PROD0029,SELL012,5,76.59
OI00097,ORD00021,PROD0033,SELL007,5,26.96
OI00098,ORD00161,PROD0039,SELL020,5,12.47
OI00099,ORD00165,PROD0022,SELL019,5,17.34
OI00100,ORD00169,PROD0080,SELL024,5,32.01
OI00101,ORD00145,PROD0006,SELL001,1,8.64
OI00102,ORD00165,PROD0099,SELL019,3,57.09
OI00103,ORD00197,PROD0074,SELL014,5,56.12
OI00104,ORD00128,PROD0081,SELL018,3,56.35
OI00105,ORD00078,PROD0062,SELL008,4,28.79
OI00106,ORD00019,PROD0089,SELL002,2,40.17
OI00107,ORD00124,PROD0060,SELL007,3,53.53
OI00108,ORD00081,PROD0092,SELL011,3,83.03
OI00109,ORD00034,PROD0098,SELL012,5,49.93
OI00110,ORD00082,PROD0031,SELL015,1,26.4
OI00111,ORD00064,PROD0019,SELL004,1,28.22
OI00112,ORD00099,PROD0079,SELL014,2,82.01
OI00113,ORD00041,PROD0042,SELL019,3,20.19
OI00114,ORD00041,PROD0064,SELL017,4,44.9
OI00115,ORD00079,PROD0064,SELL001,1,80.62
OI00116,ORD00130,PROD0059,SELL008,2,51.67
OI00117,ORD00013,PROD0007,SELL010,4,52.8
OI00118,ORD00168,PROD0087,SELL016,3,47.94
OI00119,ORD00028,PROD0056,SELL005,3,63.2
OI00120,ORD00196,PROD0052,SELL012,1,37.05
OI00121,ORD00146,PROD0072,SELL007,3,49.26
OI00122,ORD00019,PROD0050,SELL017,4,66.15
OI00123,ORD00072,PROD0080,SELL022,5,14.5
OI00124,ORD00025,PROD0051,SELL012,3,49.63
OI00125,ORD00094,PROD0097,SELL005,2,53.2
OI00126,ORD00103,PROD0065,SELL002,1,8.11
OI00127,ORD00183,PROD0043,SELL016,5,41.56
OI00128,ORD00156,PROD0066,SELL005,3,79.51
OI00129,ORD00082,PROD0021,SELL013,5,64.15
OI00130,ORD00077,PROD0076,SELL011,5,71.26
OI00131,ORD00137,PROD0063,SELL023,5,28.98
OI00132,ORD00005,PROD0048,SELL011,1,83.39
OI00133,ORD00150,PROD0040,SELL024,1,52.75
OI00134,ORD00068,PROD0084,SELL025,5,51.21
OI00135,ORD00185,PROD0007,SELL019,4,18.64
OI00136,ORD00162,PROD0093,SELL020,4,16.82
OI00137,ORD00175,PROD0032,SELL002,5,80.86
OI00138,ORD00029,PROD0025,SELL001,4,30.1
OI00139,ORD00039,PROD0053,SELL023,2,37.83
OI00140,ORD00199,PROD0079,SELL016,1,61.46
OI00141,ORD00133,PROD0027,SELL018,3,84.85
OI00142,ORD00123,PROD0068,SELL013,3,81.53
OI00143,ORD00118,PROD0069,SELL011,5,33.34
OI00144,ORD00198,PROD0093,SELL022,3,53.81
OI00145,ORD00050,PROD0032,SELL009,5,28.88
OI00146,ORD00077,PROD0099,SELL010,2,60.22
OI00147,ORD00126,PROD0041,SELL016,3,49.84
OI00148,ORD00185,PROD0036,SELL010,1,50.88
OI00149,ORD00140,PROD0049,SELL013,3,81.37
OI00150,ORD00038,PROD0038,SELL002,3,81.43
OI00151,ORD00021,PROD0045,SELL015,3,64.79
OI00152,ORD00055,PROD0026,SELL018,3,79.64
OI00153,ORD00179,PROD0035,SELL005,1,54.25
OI00154,ORD00151,PROD0031,SELL008,1,58.59
OI00155,ORD00136,PROD0029,SELL021,2,9.2
OI00156,ORD00106,PROD0043,SELL023,4,13.04
OI00157,ORD00198,PROD0018,SELL001,5,83.23
OI00158,ORD00041,PROD0053,SELL021,4,43.2
OI00159,ORD00052,PROD0097,SELL010,3,27.83
OI00160,ORD00016,PROD0099,SELL003,5,23.58
OI00161,ORD00190,PROD0093,SELL002,2,38.43
OI00162,ORD00046,PROD0005,SELL013,4,19.9
OI00163,ORD00192,PROD0038,SELL002,1,28.87
OI00164,ORD00155,PROD0014,SELL011,3,41.35
OI00165,ORD00165,PROD0070,SELL017,4,76.14
OI00166,ORD00035,PROD0065,SELL015,3,20.42
OI00167,ORD00029,PROD0043,SELL006,4,56.86
OI00168,ORD00184,PROD0024,SELL001,3,68.26
OI00169,ORD00146,PROD0087,SELL025,2,19.04
OI00170,ORD00164,PROD0052,SELL014,5,31.23
OI00171,ORD00103,PROD0086,SELL004,2,83.53
OI00172,ORD00123,PROD0042,SELL008,1,25.86
OI00173,ORD00061,PROD0058,SELL025,3,81.32
OI00174,ORD00078,PROD0075,SELL024,5,5.91
OI00175,ORD00168,PROD0047,SELL023,2,9.97
OI00176,ORD00031,PROD0060,SELL010,2,37.43
OI00177,ORD00129,PROD0091,SELL025,3,60.22
OI00178,ORD00164,PROD0038,SELL012,5,22.67
OI00179,ORD00035,PROD0062,SELL005,4,64.82
OI00180,ORD00156,PROD0048,SELL014,5,78.02
OI00181,ORD00194,PROD0069,SELL022,2,65.95
OI00182,ORD00175,PROD0097,SELL020,1,47.04
OI00183,ORD00136,PROD0091,SELL012,1,78.38
OI00184,ORD00029,PROD0008,SELL018,5,21.17
OI00185,ORD00138,PROD0020,SELL006,3,73.36
OI00186,ORD00114,PROD0015,SELL022,2,62.35
OI00187,ORD00126,PROD0012,SELL017,4,69.7
OI00188,ORD00117,PROD0017,SELL017,4,41.54
OI00189,ORD00015,PROD0072,SELL015,3,62.86
OI00190,ORD00102,PROD0033,SELL001,2,51.26
OI00191,ORD00012,PROD0055,SELL012,1,48.29
OI00192,ORD00016,PROD0009,SELL016,1,27.97
OI00193,ORD00047,PROD0099,SELL005,4,34.96
OI00194,ORD00098,PROD0058,SELL013,4,11.42
OI00195,ORD00170,PROD0070,SELL005,3,14.49
OI00196,ORD00138,PROD0051,SELL017,2,63.23
OI00197,ORD00058,PROD0001,SELL025,1,83.28
OI00198,ORD00119,PROD0087,SELL024,5,38.93
OI00199,ORD00098,PROD0030,SELL008,4,32.69
OI00200,ORD00071,PROD0025,SELL024,1,7.58
OI00201,ORD00170,PROD0054,SELL020,1,24.25
OI00202,ORD00018,PROD0013,SELL020,1,40.72
OI00203,ORD00173,PROD0091,SELL002,2,64.24
OI00204,ORD00103,PROD0057,SELL008,5,22.38
OI00205,ORD00199,PROD0008,SELL005,5,84.48
OI00206,ORD00060,PROD0094,SELL019,3,51.2
OI00207,ORD00198,PROD0087,SELL011,2,29.14
OI00208,ORD00037,PROD0085,SELL017,2,38.08
OI00209,ORD00071,PROD0008,SELL018,5,75.38
OI00210,ORD00045,PROD0081,SELL022,4,49.47
OI00211,ORD00013,PROD0045,SELL021,4,67.86
OI00212,ORD00082,PROD0090,SELL014,4,16.94
OI00213,ORD00097,PROD0024,SELL025,5,42.88
OI00214,ORD00058,PROD0039,SELL023,2,69.46
OI00215,ORD00015,PROD0072,SELL014,4,49.58
OI00216,ORD00035,PROD0050,SELL008,3,21.27
OI00217,ORD00166,PROD0011,SELL015,3,12.4
OI00218,ORD00186,PROD0025,SELL002,3,35.17
OI00219,ORD00155,PROD0078,SELL002,1,20.05
OI00220,ORD00195,PROD0076,SELL024,5,22.36
OI00221,ORD00054,PROD0043,SELL010,1,21.94
OI00222,ORD00049,PROD0095,SELL004,4,78.16
OI00223,ORD00179,PROD0078,SELL023,2,36.73
OI00224,ORD00062,PROD0071,SELL011,3,35.45
OI00225,ORD00137,PROD0084,SELL012,3,25.92
OI00226,ORD00132,PROD0064,SELL015,1,69.23
OI00227,ORD00185,PROD0061,SELL025,3,78.15
OI00228,ORD00095,PROD0041,SELL014,1,50.0
OI00229,ORD00057,PROD0095,SELL005,1,25.86
OI00230,ORD00150,PROD0075,SELL024,4,28.62
OI00231,ORD00051,PROD0043,SELL008,4,50.58
OI00232,ORD00063,PROD0064,SELL018,3,25.59
OI00233,ORD00126,PROD0093,SELL021,4,41.87
OI00234,ORD00188,PROD0046,SELL006,2,62.63
OI00235,ORD00126,PROD0024,SELL018,1,46.92
OI00236,ORD00020,PROD0086,SELL002,1,37.99
OI00237,ORD00162,PROD0030,SELL003,2,5.73
OI00238,ORD00130,PROD0059,SELL012,1,54.43
OI00239,ORD00171,PROD0079,SELL016,4,6.26
OI00240,ORD00137,PROD0071,SELL014,1,6.34
OI00241,ORD00185,PROD0036,SELL018,3,6.37
OI00242,ORD00179,PROD0087,SELL014,2,13.56
OI00243,ORD00025,PROD0068,SELL005,2,20.35
OI00244,ORD00135,PROD0033,SELL012,3,68.59
OI00245,ORD00021,PROD0048,SELL013,4,50.2
OI00246,ORD00179,PROD0029,SELL010,1,57.3
OI00247,ORD00167,PROD0098,SELL002,1,37.42
OI00248,ORD00097,PROD0071,SELL016,1,55.94
OI00249,ORD00180,PROD0022,SELL003,4,72.63
OI00250,ORD00166,PROD0043,SELL019,1,76.58
OI00251,ORD00011,PROD0030,SELL007,5,43.04
OI00252,ORD00012,PROD0010,SELL022,3,76.94
OI00253,ORD00145,PROD0085,SELL002,2,79.3
OI00254,ORD00081,PROD0003,SELL007,5,16.54
OI00255,ORD00183,PROD0051,SELL003,3,18.0
OI00256,ORD00062,PROD0073,SELL013,5,31.54
OI00257,ORD00194,PROD0095,SELL005,1,45.06
OI00258,ORD00089,PROD0007,SELL004,4,23.57
OI00259,ORD00020,PROD0044,SELL020,5,81.39
OI00260,ORD00102,PROD0100,SELL011,1,55.73
OI00261,ORD00116,PROD0063,SELL008,3,49.24
OI00262,ORD00097,PROD0056,SELL006,5,57.85
OI00263,ORD00022,PROD0099,SELL020,3,68.84
OI00264,ORD00183,PROD0010,SELL003,3,17.34
OI00265,ORD00183,PROD0082,SELL005,4,30.33
OI00266,ORD00028,PROD0012,SELL001,3,40.58
OI00267,ORD00195,PROD0035,SELL004,2,11.98
OI00268,ORD00111,PROD0058,SELL018,5,46.0
OI00269,ORD00027,PROD0004,SELL003,3,49.34
OI00270,ORD00153,PROD0077,SELL011,4,5.99
OI00271,ORD00106,PROD0050,SELL025,1,62.99
OI00272,ORD00144,PROD0032,SELL019,5,18.57
OI00273,ORD00098,PROD0022,SELL005,3,29.09
OI00274,ORD00127,PROD0019,SELL003,2,39.77
OI00275,ORD00108,PROD0039,SELL016,1,33.89
OI00276,ORD00064,PROD0093,SELL021,4,52.5
OI00277,ORD00051,PROD0059,SELL004,2,29.37
OI00278,ORD00102,PROD0043,SELL020,4,69.33
OI00279,ORD00085,PROD0057,SELL011,4,70.24
OI00280,ORD00167,PROD0077,SELL005,3,30.65
OI00281,ORD00178,PROD0026,SELL016,3,19.21
OI00282,ORD00102,PROD0041,SELL010,4,82.42
OI00283,ORD00063,PROD0042,SELL013,3,70.32
OI00284,ORD00101,PROD0047,SELL004,5,20.98
OI00285,ORD00140,PROD0024,SELL022,5,7.15
OI00286,ORD00187,PROD0060,SELL023,2,40.08
OI00287,ORD00075,PROD0089,SELL003,4,58.84
OI00288,ORD00036,PROD0082,SELL010,2,25.21
OI00289,ORD00040,PROD0092,SELL014,4,10.92
OI00290,ORD00154,PROD0062,SELL019,4,47.75
OI00291,ORD00178,PROD0054,SELL018,1,68.26
OI00292,ORD00093,PROD0090,SELL018,5,56.05
OI00293,ORD00022,PROD0014,SELL025,2,57.61
OI00294,ORD00091,PROD0022,SELL021,5,8.54
OI00295,ORD00166,PROD0087,SELL021,4,82.34
OI00296,ORD00085,PROD0056,SELL004,1,12.89
OI00297,ORD00057,PROD0066,SELL024,5,49.64
OI00298,ORD00177,PROD0074,SELL008,4,34.93
OI00299,ORD00119,PROD0099,SELL022,5,60.23
OI00300,ORD00039,PROD0045,SELL001,4,13.36
