order_id,customer_id,order_date,order_status,payment_value
ORD00001,CUST0046,2023-06-06,delivered,443.33
ORD00002,CUST0034,2023-10-04,returned,1944.47
ORD00003,CUST0035,2024-05-10,invoiced,1059.49
ORD00004,CUST0047,2023-10-02,delivered,2047.82
ORD00005,CUST0006,2023-10-13,invoiced,604.18
ORD00006,CUST0030,2024-01-24,delivered,93.16
ORD00007,CUST0021,2023-07-06,invoiced,528.78
ORD00008,CUST0017,2023-12-15,delivered,2115.76
ORD00009,CUST0045,2023-10-10,delivered,49.11
ORD00010,CUST0013,2023-03-29,canceled,1735.18
ORD00011,CUST0032,2023-09-04,invoiced,1559.02
ORD00012,CUST0032,2024-04-03,delivered,246.0
ORD00013,CUST0015,2024-02-19,canceled,752.24
ORD00014,CUST0038,2024-01-13,invoiced,1339.5
ORD00015,CUST0023,2024-03-11,delivered,810.63
ORD00016,CUST0045,2024-04-09,delivered,753.23
ORD00017,CUST0015,2023-05-04,canceled,774.43
ORD00018,CUST0048,2023-07-09,canceled,538.91
ORD00019,CUST0031,2023-10-11,returned,2344.44
ORD00020,CUST0034,2023-10-17,shipped,2002.49
ORD00021,CUST0019,2023-08-21,delivered,451.17
ORD00022,CUST0001,2024-06-30,processing,676.49
ORD00023,CUST0004,2023-10-27,processing,1539.94
ORD00024,CUST0049,2024-05-17,shipped,2097.71
ORD00025,CUST0037,2023-10-19,invoiced,1161.95
ORD00026,CUST0022,2023-07-08,delivered,624.64
ORD00027,CUST0031,2023-04-27,shipped,976.68
ORD00028,CUST0005,2023-02-24,processing,379.34
ORD00029,CUST0037,2023-11-08,shipped,2385.56
ORD00030,CUST0008,2024-03-02,returned,1440.8
ORD00031,CUST0040,2023-08-20,delivered,928.4
ORD00032,CUST0029,2023-11-01,returned,2376.32
ORD00033,CUST0020,2023-03-03,returned,2305.26
ORD00034,CUST0007,2023-08-01,canceled,653.53
ORD00035,CUST0006,2023-06-10,canceled,437.81
ORD00036,CUST0005,2023-06-10,delivered,995.23
ORD00037,CUST0045,2024-04-26,delivered,102.52
ORD00038,CUST0019,2023-10-17,invoiced,194.05
ORD00039,CUST0015,2023-09-28,returned,1595.31
ORD00040,CUST0013,2024-03-11,shipped,1318.34
ORD00041,CUST0042,2023-06-02,delivered,1988.25
