seller_id,seller_name,state
SELL001,Costa Store,MS
SELL002,Carvalho Distribuidora,PE
SELL003,Martins Distribuidora,BA
SELL004,Carvalho Trading Co,DF
SELL005,Nascimento Shop,MT
SELL006,Silva Mega Loja,AM
SELL007,Fernandes Market,RJ
SELL008,Santos Store,MG
SELL009,Rodrigues Store,GO
SELL010,Pereira Market,AL
SELL011,Rocha Shop,PR
SELL012,Rodrigues Express,RN
SELL013,Fernandes Outlet,PE
SELL014,Cardoso Shop,AL
SELL015,Lima Shop,SC
SELL016,Silva Trading Co,RN
SELL017,Carvalho Comercio,RN
SELL018,Oliveira Boutique,BA
SELL019,Souza Trading Co,GO
SELL020,Souza Boutique,AL
SELL021,Fernandes Mega Loja,RJ
SELL022,Fernandes Shop,MT
SELL023,Araujo Store,MA
SELL024,Rocha Shop,MT
SELL025,Fernandes Express,MT
